,Id;,Price
0,4567;200000
1,5925;200000
2,96;200000
3,3848;200000
4,746;200000
5,868;200000
6,672;200000
7,2471;200000
8,451;200000
9,8354;200000
10,6393;200000
11,1327;200000
12,525;200000
13,16751;200000
14,11404;200000
15,10588;200000
16,14925;200000
17,6791;200000
18,16097;200000
19,16428;200000
20,6945;200000
21,319;200000
22,15709;200000
23,13155;200000
24,7675;200000
25,14686;200000
26,609;200000
27,11155;200000
28,10869;200000
29,15742;200000
30,9245;200000
31,334;200000
32,2359;200000
33,807;200000
34,13707;200000
35,16079;200000
36,15937;200000
37,1409;200000
38,9008;200000
39,16384;200000
40,11657;200000
41,13151;200000
42,899;200000
43,11857;200000
44,1565;200000
45,8174;200000
46,9247;200000
47,10478;200000
48,15509;200000
49,8306;200000
50,6642;200000
51,7472;200000
52,15989;200000
53,13682;200000
54,163;200000
55,7076;200000
56,7478;200000
57,3029;200000
58,1814;200000
59,10057;200000
60,151;200000
61,12694;200000
62,6291;200000
63,12603;200000
64,3218;200000
65,13456;200000
66,1017;200000
67,453;200000
68,13329;200000
69,482;200000
70,10896;200000
71,13416;200000
72,2701;200000
73,11265;200000
74,9189;200000
75,1858;200000
76,14536;200000
77,6199;200000
78,1473;200000
79,751;200000
80,15505;200000
81,7446;200000
82,14016;200000
83,14113;200000
84,8721;200000
85,6193;200000
86,5717;200000
87,5427;200000
88,952;200000
89,6869;200000
90,1658;200000
91,6639;200000
92,6283;200000
93,6257;200000
94,15235;200000
95,902;200000
96,8932;200000
97,16469;200000
98,2825;200000
99,645;200000
100,11366;200000
101,3801;200000
102,11385;200000
103,1079;200000
104,3202;200000
105,676;200000
106,6185;200000
107,773;200000
108,2573;200000
109,10978;200000
110,10962;200000
111,887;200000
112,8496;200000
113,5517;200000
114,927;200000
115,13675;200000
116,1499;200000
117,15536;200000
118,8602;200000
119,12137;200000
120,9865;200000
121,16353;200000
122,15908;200000
123,3944;200000
124,10359;200000
125,15158;200000
126,3259;200000
127,722;200000
128,13843;200000
129,16736;200000
130,702;200000
131,16401;200000
132,12134;200000
133,6918;200000
134,11792;200000
135,3798;200000
136,10395;200000
137,11099;200000
138,709;200000
139,1126;200000
140,9647;200000
141,2903;200000
142,2071;200000
143,8604;200000
144,9346;200000
145,3945;200000
146,342;200000
147,10842;200000
148,725;200000
149,13931;200000
150,1633;200000
151,9066;200000
152,3326;200000
153,1556;200000
154,6579;200000
155,13877;200000
156,9857;200000
